Start	Message	Estimated p1	Estimated p2	PAYOFF	Simulations
1671	OK	     3.40111	     2.02766	            -50942.4	196702
1672	OK	     1.17298	     2.82609	             -144340	196792
1673	OK	      1.3163	     2.78274	             -125517	196891
1674	OK	    0.214649	      3.1074	             -270370	196992
1675	OK	      2.7478	     2.29558	           -0.613169	197297
1676	OK	     2.74664	     2.29616	           -0.106566	197496
1677	OK	    0.038355	      3.1571	             -291752	197580
1678	OK	     3.14665	      2.1373	            -17646.2	197663
1679	OK	     2.74627	      2.2963	           -0.179383	197968
1680	OK	     2.74919	      2.2951	           -0.526323	198244
1682	OK	     2.74792	     2.29562	           -0.060021	198479
1683	OK	      2.7478	     2.29575	           -0.214027	198760
1684	OK	     2.74921	      2.2951	           -0.486245	199059
1685	OK	     1.04103	     2.86635	             -162207	199164
1686	OK	      2.7452	     2.29666	           -0.467058	199458
1687	OK	   0.0215541	     3.16174	             -293713	199559
1688	OK	     1.72458	     2.65355	            -73716.1	199646
1690	OK	     2.74816	     2.29541	            -1.04717	199930
1691	OK	   0.0462114	      3.1549	             -290814	200009
1692	OK	           0	     3.17543	             -305047	200092
1694	OK	    0.447414	     3.04119	             -241127	200203
1695	OK	     2.74791	     2.29554	            -0.59926	200505
1697	OK	    0.902243	     2.90792	             -180912	200603
1698	OK	     2.74591	     2.29644	           -0.298357	200921
1699	OK	     1.04612	     2.86475	             -161492	201013
1700	OK	     2.74792	     2.29554	           -0.591161	201316
1701	OK	     2.74792	     2.29552	           -0.787125	201585
1703	OK	   0.0984722	     3.14024	             -284561	201697
1704	OK	     3.09016	     2.16083	            -12760.2	201778
1705	OK	     2.74832	     2.29541	           -0.482556	202055
1707	OK	     2.74861	      2.2953	           -0.537328	202352
1708	OK	     2.87161	     2.24818	             -1564.8	202424
1709	OK	    0.249259	     3.09739	             -265995	202509
1710	OK	   0.0282357	     3.15936	             -292700	202604
1714	OK	     2.46523	     2.40039	            -7152.04	202702
1715	OK	     3.19983	     2.11481	            -23065.5	202784
1716	OK	     2.46824	     2.39961	            -7048.69	202886
1717	OK	     2.74741	     2.29578	           -0.151185	203052
1718	OK	    0.965423	     2.88932	             -172526	203143
1719	OK	     2.74872	     2.29527	           -0.434406	203421
1720	OK	   0.0413579	     3.15554	             -291087	203531
1721	OK	     1.52141	      2.7178	            -98500.5	203619
1722	OK	     1.88997	     2.59888	            -54623.6	203699
1723	OK	     2.74545	      2.2966	            -0.39132	204012
1724	OK	     2.74823	     2.29543	           -0.524525	204296
1725	OK	     2.74699	     2.29607	           -0.262293	204502
1727	OK	     2.74869	     2.29528	           -0.467063	204814
1728	OK	     2.74846	     2.29535	           -0.519332	205114
1729	OK	    0.848781	     2.92414	             -188259	205215
1730	OK	     2.74908	     2.29515	            -0.46936	205493
1732	OK	    0.799939	     2.93813	             -194591	205593
1733	OK	     3.22355	     2.10443	            -25815.1	205670
1734	OK	     2.74898	     2.29519	           -0.439845	205972
1735	OK	     2.79812	     2.27664	            -254.049	206070
1736	OK	     1.40671	     2.75436	             -113497	206167
1737	OK	     3.27102	     2.09313	            -31992.6	206268
1738	OK	   0.0401251	     3.15609	             -291313	206369
1739	OK	    0.704878	     2.96627	             -207349	206462
1740	OK	   0.0377378	      3.1572	             -291788	206576
1741	OK	    0.636679	     2.98612	             -216335	206679
1742	OK	     2.74704	     2.29611	           -0.901568	206894
1743	OK	    0.977952	     2.88535	             -170735	207000
1744	OK	    0.925147	      2.9015	             -178023	207098
1745	OK	           0	     3.17045	             -298150	207170
1746	OK	     2.74637	     2.29619	           -0.155757	207400
1747	OK	    0.695655	     2.96913	             -208650	207490
1748	OK	     2.74547	     2.29659	           -0.380266	207817
1749	OK	           0	     3.16962	             -297428	207900
1750	OK	   0.0446846	     3.15513	             -290905	208013
1751	OK	    0.309425	     3.07998	             -258353	208116
1753	OK	     1.65464	     2.67546	            -81907.6	208207
1754	OK	           0	     3.16762	             -296192	208287
1755	OK	     1.59847	     2.69379	              -88966	208378
1756	OK	    0.255436	     3.09597	             -265384	208470
1757	OK	     2.74547	     2.29659	           -0.378469	208758
1759	OK	    0.109743	     3.13704	             -283189	208864
1760	OK	     1.08713	     2.85221	             -155901	208976
1761	OK	     2.15335	     2.51038	            -28687.5	209064
1762	OK	  0.00889083	      3.1649	             -295043	209170
1763	OK	           0	     3.17133	             -299045	209255
1764	OK	     3.03797	     2.18141	            -9128.15	209326
1765	OK	   0.0420628	     3.15585	             -291212	209426
1766	OK	    0.218863	     3.10587	             -269700	209527
1767	OK	    0.175674	     3.11834	             -275122	209632
1768	OK	     2.74588	     2.29646	           -0.330466	209835
1769	OK	           0	     3.16919	             -297108	209917
1771	OK	     2.80119	     2.27531	             -288.08	209992
1772	OK	     3.61056	     1.93052	            -94388.3	210065
1774	OK	           0	     3.17162	             -299367	210124
1775	OK	     1.22281	     2.81109	             -137764	210214
1776	OK	     2.74605	     2.29631	           -0.243415	210495
1777	OK	     2.74736	     2.29593	           -0.291317	210794
1778	OK	     1.44538	     2.74227	             -108472	210881
1779	OK	     3.68441	      1.8956	             -112983	210961
1780	OK	     2.15243	     2.51042	              -28700	211054
1781	OK	    0.237417	     3.10094	             -267548	211139
1782	OK	   0.0398293	     3.15605	             -291300	211246
1783	OK	     3.79626	     1.84084	             -145093	211336
