Start	Message	Estimated p1	Estimated p2	PAYOFF	
2203	OK	     9.14255	     66.1536	       -7.15669e+249	
2204	OK	     9.24743	     53.9961	       -2.75741e+204	
2205	OK	     9.69472	     43.3358	       -8.46206e+164	
2206	OK	      9.2365	     16.2228	        -1.11113e+63	
2208	OK	     9.73239	     43.4176	       -1.84733e+165	
2209	OK	     6.20137	     74.6437	       -1.19874e+279	
2210	OK	     6.83881	     63.9608	       -4.42765e+239	
2211	OK	      8.7984	     80.1656	       -1.00626e+302	
2212	OK	     2.14161	     45.1228	       -1.13719e+165	
2214	OK	     4.52169	     49.9068	        -1.0706e+185	
2215	OK	     3.76882	     25.4995	        -1.04536e+93	
2216	OK	    0.113239	     34.2966	       -5.90872e+122	
2217	OK	     5.43952	      78.596	       -1.62366e+293	
2219	OK	     6.51109	     23.8683	        -1.97431e+89	
2220	OK	     4.58873	     67.2073	       -6.97522e+249	
2221	OK	     6.71314	     30.5958	       -4.48619e+114	
2222	OK	     5.83663	     26.0811	        -9.81865e+96	
2223	OK	     9.69153	     35.5987	       -9.21955e+135	
2225	OK	     4.19673	     54.2539	       -1.04311e+201	
2226	OK	     6.58725	      71.992	       -3.07926e+269	
2227	OK	     9.20024	     42.5958	       -5.34878e+161	
2228	OK	    0.311463	     78.8917	       -7.29471e+289	
2229	OK	     6.36522	     24.6163	        -9.29779e+91	
2230	OK	     5.64947	     36.0627	       -1.55173e+134	
2231	OK	     4.08803	     15.0455	        -1.46971e+54	
2232	OK	     3.60248	     14.9587	        -2.63476e+53	
2233	OK	     2.81336	     70.6857	       -2.09522e+261	
2235	OK	     9.09171	     52.0059	       -7.17534e+196	
2236	OK	     6.92977	     31.6147	       -4.50582e+118	
2237	OK	     6.79342	     45.8688	       -7.73498e+171	
2238	OK	    0.831837	      31.619	       -2.36347e+113	
2239	OK	     9.27437	     10.2565	        -5.61948e+40	
2240	OK	     9.15675	     33.8726	       -1.09546e+129	
2241	OK	     2.09994	     16.9024	        -2.45877e+59	
2242	OK	     9.84871	     43.9173	       -1.72855e+167	
2244	OK	     6.14108	     21.0807	        -3.46837e+78	
2245	OK	      6.7911	      2.2233	        -1.48812e+10	
2246	OK	     6.21025	     37.3487	       -3.09825e+139	
2250	OK	     3.26767	     33.4629	       -2.45962e+122	
2251	OK	     7.23541	     27.2294	       -3.20106e+102	
2253	OK	     6.39714	       17.69	        -1.17847e+66	
2254	OK	      0.2799	     28.3518	       -4.62196e+100	
2257	OK	     2.36626	     51.2414	       -1.42207e+188	
2259	OK	     5.46564	     32.2399	       -5.27732e+119	
2260	OK	     8.07948	     6.96172	        -2.53496e+27	
2262	OK	     6.49101	     51.9307	       -2.06824e+194	
2266	OK	     2.19106	     42.7382	        -1.4899e+156	
2267	OK	     5.74077	     48.7272	       -4.71041e+181	
2268	OK	      8.4891	     53.4888	       -7.64058e+201	
2269	OK	       6.968	     9.99831	        -6.03091e+37	
2270	OK	      6.7057	     76.7478	       -2.46697e+287	
2271	OK	     6.30275	     45.9514	       -5.90874e+171	
2272	OK	     5.67671	     43.5017	       -1.14371e+162	
2275	OK	    0.783103	     17.0424	        -5.89943e+58	
2277	OK	     9.62282	     67.5128	       -2.28758e+255	
2278	OK	     5.49131	       72.07	       -6.74057e+268	
2279	OK	     6.37851	     56.6135	       -5.56704e+211	
2280	OK	    0.103063	     75.5957	       -2.21304e+277	
2281	OK	     3.87941	     14.9265	        -3.47186e+53	
2282	OK	     6.75672	     12.3925	        -3.59462e+46	
2283	OK	   0.0609212	      37.003	       -7.17953e+132	
2285	OK	     9.02163	     35.0631	       -2.38806e+133	
2286	OK	     8.76637	     56.4937	        -2.3509e+213	
2287	OK	     5.21748	     51.6745	        -1.7802e+192	
2290	OK	     7.59522	     38.0335	       -1.80941e+143	
2292	OK	     9.05446	     33.7903	       -4.39348e+128	
2293	OK	     5.19558	     25.0338	        -3.27436e+92	
2294	OK	     2.85616	     35.4371	       -2.64838e+129	
2295	OK	     4.72507	     67.5666	       -2.02673e+251	
2296	OK	     9.68309	     49.9537	       -4.87678e+189	
2297	OK	      8.2172	     57.1078	       -1.55854e+215	
2298	OK	    0.967695	     26.0977	        -6.68359e+92	
2299	OK	     1.01726	     45.6092	       -7.93687e+165	
2300	OK	     4.58943	     20.0733	        -2.64068e+73	
2301	OK	     8.18491	     30.2092	       -3.04423e+114	
2302	OK	     2.58627	     2.29447	             -160044	
2303	OK	    0.168247	     27.1963	        -1.74981e+96	
2304	OK	     2.59457	     58.9403	       -1.47262e+217	
2307	OK	     8.52969	     47.6317	       -9.88976e+179	
2308	OK	     2.66208	     16.3776	         -8.2152e+57	
2309	OK	     8.35543	     38.6078	       -1.16746e+146	
2310	OK	     6.09472	     6.66569	        -3.78927e+24	
2311	OK	     8.90765	     8.22839	        -7.05053e+32	
2312	OK	     2.51005	     72.2005	       -5.33839e+266	
2313	OK	     1.10456	     12.6167	        -3.05778e+42	
2314	OK	     8.21405	      77.461	       -2.35541e+291	
2315	OK	     1.67941	     63.2775	       -4.04862e+232	
